000,000,000,000,000,000;
212M1,658,706,709,065,036;
245,113,658,663,006M1,497;
658,257M1,681,701,706,302;
248,149,700,488,663,303M1;
473,598,642,132,373M1,094;
115M1,642,445,094,488,286;
373M1,311,700,168,450,115;
257M1,642,286,149,036,245;
658,555,681,530,376M1,212;
115M1,645F1,257,681,245,642;
208M1,497,604,148,130,367;
707,132,115M1,145,473,468;
260M1,230,186,642,303,445;
115M1,488,635,244,445,094;
149,642F1,591,464,009M1,448;
373M1,598,663,473,479F2,534;
381,303M1,245,598,145,244;
197,227,479F2,547,257,373M1;
115M1,445,642,488,663,286;
214,094M1,473,598,184,635;
243,473,245,233,598,373M1;
598,635,488,642,115M1,130;
115M1,003,635,681,184,464;
461,094M1,530,248,373,479F2;
373M1,248,530,510,286,132;
479F1,442,469,598,080M1,639;
445,468,303M1,243,609,479F2;
257M1,658,094,645F1,547,233;
286,637,642,233,681,373M1;
473,245,243,003,006M1,445;
214,094M1,642,036,473,450;
445,243,663,658,184,003M1;
094M1,445,637,132,260,681;
534,127M1,115,423,609,178;
302M1,006,091,132,036,642;
003M1,663,350,181,212,429;
257M1,497,479F2,036,461,681;
488,462,663,598,473,130M1;
197,609,031,479F2,149,428M1;
245,645F1,642,094,303M1,115;
243,227,663,479F2,635,257M1;
598,479F1,248,303M1,381,130;
591,681,663,658,450,115M1;
445,642,245,094M1,257,115;
450,530,373M1,637,145,245;
678,464,257,245,642,373M1;
598,110,472,149,260,257M1;
113,195,094M1,706,472,227;
038,171,359,196,334M1,381;
579,303M1,233,663,286,445;
479F2,212,381,135,534,115M1;
195,697,641F1,373M1,591,206;
115M1,257,245,094,642,445;
528,563,617,094,428M1,310;
133,346,441,598,445,094M1;
115M1,286,593,642,663,445;
450,663,245,282,115M1,094;
197,547,663,413,334M1,658;
094M1,242,594,227,485,681;
094M1,245,445,115,663,286;
127M1,036,381,450,479F2,485;
171,233,184,450,094M1,006;
473,555,547,469,310M1,130;
473,479F2,497,642,546,094M1;
115M1,598,244,642,450,282;
482,464,700,534,658,006M1;
006M2,593,248,470,473,642F1;
373M1,260,652,707,248,479F1;
115M1,445,488,094,286,485;
485,497,376M1,596,445,450;
115M1,488,635,681,257,479F2;
697,497,437,609,620,359M1;
423,637,642,598,373M1,302;
472,113,248,227,003M1,080;
286,547,697,448M1,157,230;
468,596,472,545,196,302M1;
642,445,303M1,257,094,286;
450,534,479F1,474,681,373M1;
115M1,700,642,445,663,094;
555,645F1,395,534,202,479F5;
282M1,450,642,244,598,115;
479F1,302,450,094M1,212,381;
560,635,625,130M1,197,452;
658,080,530,642,003M1,373;
248M1,530,149,212,398,243;
411,395,668,149,596,094M1;
184,445,145,598,094M1,257;
115M1,094,642,036,707,003;
468,257,658,681,445,003M1;
302M1,485,286,445,663,036;
303M1,635,663,700,598,473;
214,485,245,497,445,094M1;
